City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
155,slave lake,56.3458,-114.9508,280.96,50,93,2.46,CA
156,aanekoski,62.6003,25.527,272.5,100,58,1.15,FI
157,kaa-khem,53.1397,95.4344,274.06,88,100,6.35,RU
158,jinjiang,24.7874,118.4081,295.31,80,100,3.04,CN
159,xichang,28.0755,101.3194,270.83,96,10,1.04,CN
160,ust'-ilimsk,59.2482,103.006,274.84,75,100,3.38,RU
161,alo,-17.0685,-178.1258,298.86,82,48,3.52,FJ
162,velingara,13.173,-14.0519,301.77,67,32,2.34,SN
163,cheremukhovo,60.6674,59.0776,268.74,95,100,4.27,RU
164,shuangjiang,26.199,109.5255,287.64,67,71,1.15,CN
165,ulverstone,-42.463,145.618,283.0,99,76,0.46,AU
166,happy valley-goose bay,55.549,-57.2355,277.33,95,100,4.94,CA
167,baruun-urt,47.5034,112.5935,276.26,51,0,2.31,MN
168,kimbe,-6.602,150.4938,299.45,84,100,2.47,PG
169,yudong,29.2706,106.4476,292.79,69,99,0.57,CN
170,valle hermoso,25.7357,-97.9751,307.56,39,93,5.96,MX
171,sayan,-11.2676,-76.9373,294.64,67,66,4.86,PE
172,swakopmund,-21.5295,14.0708,287.32,79,0,3.56,NA
173,priozersk,45.8088,73.6561,284.88,81,100,2.18,KZ
174,nguigmi,15.3179,12.6047,304.88,11,100,4.42,NE
175,bafq,31.6957,55.5302,294.03,28,43,2.23,IR
176,lanzhou,36.4166,103.4207,281.39,52,43,1.41,CN
177,bath,42.4789,-77.4181,284.16,91,100,7.01,US
178,kudymkar,59.6557,54.4316,271.5,82,100,4.91,RU
179,juneau,58.8132,-132.8878,271.49,77,99,1.58,US
180,jebrail,39.2411,47.3857,289.6,60,5,2.01,AZ
181,zahedan,29.9468,60.3536,292.16,32,99,1.4,IR
182,campo gallo,-26.4622,-62.9769,310.55,31,64,2.52,AR
183,korotchaevo,66.8048,77.6748,272.02,80,98,6.08,RU
184,motueka,-40.1319,172.0377,285.97,74,4,10.67,NZ
185,isfana,39.5776,70.0066,270.12,93,100,2.99,KG
186,childress,34.2896,-100.7533,304.63,15,100,6.91,US
187,savelugu,9.873,-1.2228,302.21,54,96,1.86,GH
188,murun-kuren,50.9173,99.1715,273.51,58,9,0.92,MN
189,rio brilhante,-21.3742,-54.472,309.88,27,0,1.65,BR
190,boa vista,1.8588,-60.7579,304.92,55,83,1.22,BR
191,bikenibeu village,-0.6413,175.6997,301.77,74,97,3.1,KI
192,bozeman,44.871,-111.5458,288.2,37,100,2.53,US
193,bokoro,12.9151,17.1513,305.06,13,2,3.88,TD
194,tukrah,33.5123,20.0719,298.74,68,20,6.68,LY
195,janeng,-25.6622,25.1943,294.86,11,42,5.32,BW
196,embarcacion,-23.4607,-64.0613,308.14,24,17,3.28,AR
197,bykovo,49.3752,45.23,280.2,71,100,7.18,RU
198,kotabumi,-4.1007,104.8971,296.64,89,100,2.08,ID
199,charters towers,-22.1586,143.5273,298.58,32,1,2.25,AU
200,gunjur,13.0348,-17.4022,301.44,75,8,3.39,GM
201,dongola,18.7268,29.2372,298.64,16,19,5.43,SD
202,csorna,47.6537,17.1835,290.98,86,100,4.95,HU
203,batken,40.1715,71.0488,287.89,55,100,2.38,KG
204,taichung,24.5366,120.4848,297.9,82,44,9.92,TW
205,syktyvkar,61.6498,50.811,273.14,86,40,4.02,RU
206,igbor,7.5056,8.672,299.79,81,100,2.41,NG
207,san jose del guaviare,0.8847,-72.2712,305.63,47,37,1.79,CO
208,khuzdar,28.216,67.0288,293.78,39,100,2.2,PK
209,oliver,48.9446,-120.6183,285.86,48,100,1.34,US
210,yushu,44.735,126.2961,278.5,45,6,6.12,CN
211,boguchar,49.7946,40.8368,278.99,74,100,5.9,RU
212,honiara,-9.1583,159.5135,300.86,73,99,2.02,SB
213,clarion,41.2714,-79.2037,282.5,95,100,4.75,US
214,hit,32.6202,42.1042,296.72,32,100,2.74,IQ
215,yashkul',46.8178,45.0605,285.34,77,100,8.14,RU
216,belmopan,17.0884,-88.6084,302.23,57,99,1.7,BZ
217,sainte-anne-des-monts,49.297,-66.079,283.87,98,100,6.31,CA
218,songnim,38.832,125.6091,279.32,51,1,1.87,KP
219,sittwe,19.8871,93.7598,296.0,97,10,1.28,MM
220,yarovoye,52.9602,78.5435,276.95,70,100,3.51,RU
221,sirte,31.6558,16.5401,300.09,69,100,2.09,LY
222,malanje,-10.125,18.115,292.13,83,63,1.19,AO
223,raduzhnyy,59.3149,49.423,271.41,78,36,4.52,RU
224,tixkokob,21.0012,-89.3345,306.16,29,19,2.03,MX
225,vredendal,-32.2579,18.5466,295.09,53,100,2.54,ZA
226,ebaye,8.7359,168.2705,301.43,77,100,3.04,MH
227,folkston,30.8394,-82.0848,298.19,36,0,1.79,US
228,duarte,34.2049,-117.9367,303.62,35,0,4.63,US
229,fort stockton,29.7527,-102.3931,301.13,25,100,2.2,US
230,narvik,68.2664,18.2145,264.09,59,7,2.5,SE
231,scott,30.2693,-92.1294,304.27,38,0,3.6,US
232,ebon,4.7525,168.5651,301.63,71,100,1.39,MH
233,bayji,34.7072,42.8409,297.71,36,47,3.92,IQ
234,santa ana pacueco,20.1794,-101.9674,299.55,43,98,2.53,MX
235,vorotynsk,54.3683,36.1913,276.62,85,94,2.87,RU
236,zhanibek,49.4169,47.2498,279.65,68,99,8.63,KZ
237,qarazhal,49.3942,69.6712,277.99,50,100,3.94,KZ
238,funafuti,-8.7332,179.218,304.18,73,92,1.56,TV
239,zhanaozen,42.9573,54.1715,287.39,53,30,4.42,KZ
240,idri,27.2215,13.2795,300.75,16,0,2.28,LY
241,fort mcmurray,55.4426,-111.7444,282.79,33,11,3.95,CA
242,abraham's bay,22.2565,-72.5933,302.06,74,19,6.4,TC
243,pangkalanbuun,-0.7099,112.0424,295.27,98,100,0.51,ID
244,kimberley,-28.8482,25.1174,293.41,23,0,7.37,ZA
245,perry,29.7205,-84.1234,297.05,41,4,1.88,US
246,el maamoura,36.2593,10.9824,295.89,61,100,6.81,TN
247,moose jaw,49.206,-105.4021,283.67,34,61,1.48,CA
248,mulchen,-37.6294,-71.3368,286.35,45,51,4.66,CL
249,burao,8.8403,46.1496,298.68,47,97,1.28,SO
250,shiprock,36.6097,-108.7123,299.26,13,0,1.68,US
251,zabol,31.1451,61.4131,295.95,43,16,5.83,IR
252,prescott,34.3559,-112.6974,305.11,12,0,5.24,US
253,yeniseysk,58.1326,90.9769,275.31,93,100,8.82,RU
254,carbonear,49.5081,-52.8367,282.7,98,100,13.47,CA
255,khartoum,15.5918,32.5667,306.45,13,7,7.19,SD
256,prata,-19.6136,-48.8617,306.1,31,0,4.77,BR
257,mana,5.5571,-53.4463,302.23,72,78,4.98,GF
258,kambove,-9.9554,26.6398,294.36,83,45,1.62,CD
259,shimoda,34.4559,139.368,290.99,54,87,8.09,JP
260,dezhou,37.3078,116.05,284.46,51,0,3.04,CN
261,mogocha,54.9407,120.5176,266.86,80,77,1.22,RU
262,alaghsas,18.6994,7.0777,306.39,10,95,3.77,NE
263,pakxan,18.6005,103.9962,289.9,83,12,1.67,LA
264,thanatpin,17.2664,96.628,297.48,90,25,1.85,MM
265,nema,16.1184,-6.7572,308.6,19,72,3.19,MR
266,agustin codazzi,10.1454,-73.2555,304.29,54,97,1.3,CO
267,mezhdurechenskiy,60.2738,66.7112,272.61,63,100,5.69,RU
268,gunupur,19.154,83.9254,294.84,82,75,1.3,IN
269,extrema,-9.897,-66.781,313.6,18,58,1.84,BR
270,chandler,48.3127,-65.0035,283.51,96,100,2.98,CA
271,new kingman-butler,35.8055,-113.8746,300.83,13,0,2.24,US
272,savanna-la-mar,17.4695,-78.7525,302.61,70,66,2.52,JM
273,qal'at bishah,20.4102,44.0452,297.73,29,0,4.18,SA
274,timimoun,30.3732,0.7376,296.8,33,50,4.64,DZ
275,ar ruways,24.2495,53.3447,304.1,72,0,4.7,AE
276,san rafael,-34.5429,-67.6362,299.14,43,55,5.92,AR
277,howard springs,-15.9491,134.2536,297.12,65,0,4.0,AU
278,alvaraes,-2.3243,-64.7379,307.43,47,43,1.15,BR
279,puerto carreno,6.8084,-65.8504,303.87,59,100,1.63,VE
280,gorom-gorom,15.2458,-1.0962,306.8,24,100,0.68,ML
281,hengchun,22.1355,120.4579,299.09,74,60,4.03,TW
282,victorica,-35.3389,-66.2097,299.59,46,92,7.35,AR
283,goure,15.1894,11.1966,304.89,11,100,3.72,NE
284,yemetsk,64.7395,42.6361,272.96,76,27,4.45,RU
285,abra pampa,-22.5978,-66.3377,288.52,17,100,6.83,AR
286,springbok,-29.0215,17.9385,291.67,48,84,4.87,ZA
287,tortoli,39.5362,9.7809,294.35,68,53,8.26,IT
288,umba,66.0246,35.4506,277.2,77,52,8.69,RU
289,arua,3.0865,30.9345,291.99,88,46,0.7,UG
290,nizhneudinsk,54.6238,98.2335,278.64,68,98,1.36,RU
291,caraballeda,11.2039,-66.7228,302.49,76,90,4.28,VE
292,plastun,45.0951,138.2987,279.13,50,3,13.52,RU
293,hualien city,24.1278,121.8387,296.93,82,100,5.23,TW
294,smithfield,41.9199,-112.0059,295.49,37,0,0.0,US
295,lu-uk,5.5708,122.1922,301.38,70,81,1.09,PH
296,waterford,37.9771,-120.2055,301.03,40,0,3.6,US
297,kratie,12.4898,105.895,295.97,97,100,0.9,KH
298,al ghayzah,18.0354,51.9382,299.23,49,100,5.18,YE
299,naestved,55.0635,11.5732,284.32,95,98,3.88,DK
300,skeldon,4.731,-57.1406,301.9,67,100,1.25,SR
301,leninskoye,58.7498,46.6977,271.46,77,14,3.95,RU
302,aykhal,65.801,109.9742,259.9,100,50,2.33,RU
303,pont rouge,49.7773,-72.096,283.04,94,100,1.88,CA
304,novoishimskiy,53.7468,66.6403,277.13,95,100,7.71,KZ
305,pushkino,39.5692,48.5402,290.85,79,0,1.86,AZ
306,sherbakul',54.7413,72.3325,277.1,69,100,5.5,RU
307,fier,40.7259,19.5221,296.99,40,89,5.01,AL
308,chadron,43.3258,-101.6789,289.08,35,32,3.33,US
309,fallon,38.5688,-118.5599,295.03,26,0,0.0,US
310,hanceville,51.0497,-122.9444,280.48,59,100,0.71,CA
311,jabat,7.7424,169.8992,301.67,78,98,4.69,MH
312,sampacho,-33.3372,-64.6226,305.19,36,31,6.69,AR
313,traralgon,-38.3046,146.7442,283.51,64,58,3.49,AU
314,pahrump,36.5298,-116.8072,305.21,16,3,1.31,US
315,elko,40.1222,-116.5523,292.28,19,3,1.13,US
316,dunkwa,5.7649,-1.8888,296.63,96,99,1.65,GH
317,zavodoukovsk,55.9251,66.9211,277.74,97,100,4.94,RU
318,oravita,45.1192,21.654,295.59,40,95,1.77,RO
319,ghadamis,29.4503,9.5457,298.68,24,40,3.9,LY
320,tbeng meanchey,13.932,104.3017,295.1,96,100,1.04,KH
321,popondetta,-9.0954,148.485,293.95,96,96,1.11,PG
322,babeni,44.9832,24.101,290.13,49,25,1.65,RO
323,steinbach,49.9167,-95.7635,284.42,72,100,4.07,CA
324,strazhitsa,43.1043,25.9222,293.99,46,0,2.06,BG
325,levuka,-17.636,179.2706,298.51,82,43,2.62,FJ
326,bambari,5.8168,20.1743,295.82,88,18,1.01,CF
327,nafpaktos,38.5587,21.9354,289.03,61,83,1.41,GR
328,sinjar,36.0588,42.4488,297.44,39,3,3.17,IQ
329,cholpon-ata,42.8761,77.3589,268.14,73,99,0.68,KG
330,nuuk,66.073,-51.6057,258.88,94,86,0.93,GL
331,chicoana,-25.3867,-65.815,293.81,42,1,5.69,AR
332,sainte-marie,46.5281,-71.1776,287.25,96,100,4.56,CA
333,tromso,71.2583,20.4499,277.4,75,100,4.02,NO
334,nantucket,40.8395,-70.3973,288.2,92,94,11.98,US
335,atherton,-19.1673,143.6676,290.71,61,23,1.64,AU
336,luoyang,34.465,112.3438,286.57,63,0,1.45,CN
337,kristinestad,61.8193,20.3143,276.8,71,100,9.32,FI
338,jingdezhen,29.2448,117.5773,283.82,72,3,1.13,CN
339,doka,14.2175,36.4393,301.11,59,7,1.73,ER
340,timbuktu,19.32,-3.3927,305.4,14,0,2.05,ML
341,yichang,31.3541,111.0944,277.93,89,1,1.19,CN
342,black river,16.896,-78.3391,302.57,70,27,2.82,JM
343,xinxiang,35.2418,113.7239,287.87,49,0,1.77,CN
344,cuilapan de guerrero,16.9638,-96.7902,298.88,25,100,4.12,MX
345,korla,41.3607,85.8507,285.19,29,3,2.82,CN
346,altay,45.9204,89.2878,281.45,34,27,1.61,CN
347,sunland park,31.4714,-106.7384,303.88,13,100,2.88,MX
348,as sulayyil,22.2233,46.1357,297.71,23,0,2.42,SA
349,kuanda,55.5658,116.0512,267.34,74,63,0.64,RU
350,vedea,43.8136,25.6856,295.39,32,0,1.5,RO
351,hotan,38.3269,80.0339,283.48,23,78,3.79,CN
352,ar rutbah,33.015,41.4434,295.49,31,100,1.83,IQ
353,floro,62.1761,3.0498,281.19,49,74,3.88,NO
354,tubarjal,30.3057,39.1811,296.91,27,100,8.86,SA
355,youssoufia,32.2057,-8.2036,292.23,60,100,4.95,MA
356,sakakah,29.4179,39.7268,295.26,30,100,4.84,SA
357,kokshetau,53.5544,68.8264,276.46,95,100,7.78,KZ
358,kiama,-35.0799,151.3592,292.84,79,54,4.36,AU
359,ataq,16.3217,47.5006,296.31,29,5,5.52,YE
360,rock falls,41.6286,-89.8719,293.3,37,0,9.16,US
361,dul'durga,50.8985,113.1995,272.2,83,12,1.69,RU
362,smara,26.8658,-11.5051,297.44,42,0,4.23,EH
363,bukama,-9.0721,25.7213,297.72,71,91,0.51,CD
364,emmett,44.3564,-116.0682,293.65,24,32,2.59,US
